startup,industry,season,ask_amount,equity_offered,sentiment_label,sentiment_score,investment_score,risk_level,verdict,actual_deal,predicted_deal
Trunkster,Lifestyle/Home,7,1400000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Solsource,Lifestyle/Home,9,500000.0,3.0,Neutral,0,61.0,Medium-Low,Consider,1,1
GatsbyChocolate,Food and Beverage,15,500000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
PiperWai,Fashion/Beauty,7,50000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
LunaMagic,Fashion/Beauty,12,200000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
NightCap,Food and Beverage,12,60000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Mella,Pet Products,15,250000.0,2.5,Neutral,0,61.0,Medium-Low,Consider,1,1
CoffeeMeetsBagel,Technology/Software,6,500000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,0,1
XCraft,Technology/Software,7,500000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
ShowerToga,Lifestyle/Home,10,80000.0,33.0,Neutral,0,61.0,Medium-Low,Consider,1,1
ThePizzaCupcake,Food and Beverage,12,125000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Matador,Fashion/Beauty,15,250000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,0,1
Anytongs,Lifestyle/Home,14,150000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Muvez,Fashion/Beauty,11,200000.0,15.0,Neutral,0,65.0,Medium-Low,Consider,1,1
HatchBaby,Children/Education,7,250000.0,2.5,Neutral,0,61.0,Medium-Low,Consider,1,1
TushBaby,Children/Education,10,200000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
TheFizz,Food and Beverage,1,150000.0,25.0,Neutral,0,61.0,Medium-Low,Consider,0,1
BunnyEyez,Fashion/Beauty,15,200000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
BlondiesCookies,Food and Beverage,3,200000.0,3.0,Neutral,0,61.0,Medium-Low,Consider,0,1
BabyToon,Children/Education,11,50000.0,50.0,Neutral,0,58.0,Medium-Low,Conditional,1,1
TippiToes,Fitness/Sports/Outdoors,2,30000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Brightwheel,Children/Education,7,400000.0,4.0,Neutral,0,61.0,Medium-Low,Consider,1,1
Rethink,Technology/Software,8,100000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Fortress,Fashion/Beauty,11,600000.0,15.0,Neutral,0,65.0,Medium-Low,Consider,0,1
MagicCook,Food and Beverage,6,100000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
